No_Pelajar,Kod_Kursus_Pelajar,Semester_Pelajar,Jantina,Kod_Negeri_Pelajar,CGPA,GPA,Has_Award,Total_Credit_Taken,Avg_Subjek_Attendance,Avg_Subjek_Marks,Total_Dropped,Total_Failed,Total_Koko,PLO_1,PLO_2,PLO_3,PLO_4,PLO_5,PLO_6,PLO_7,PLO_8,PLO_9,Source_File,Status_Pelajar
333451244386,DGA,3,L,T,3.51,3.35,False,47,90.22727272727272,84.5,0,0,0,74.17200006666667,81.78181736363636,75.21444388888888,77.60714285714286,79.11545427272728,82.375,86.33499900000001,83.019997,95.0,JJ2025,Sederhana
333521209099,DCG*,1,L,T,3.47,3.47,False,18,100.0,77.85714285714286,0,0,0,74.913334,81.79272663636364,74.360001,73.85714285714286,75.5,75.5,68.5,72.5,60.0,JJ2025,Sederhana
333531249117,DFK,5,L,T,3.78,3.84,True,84,94.28571428571428,86.82857142857142,0,0,0,77.19636351515152,91.45771417142858,80.85052657894737,89.57799985,90.83266713333332,88.4800003,86.49499899999999,87.55,89.25,JJ2025,Sederhana
333571232630,DGA,1,L,T,3.63,3.63,True,12,85.71428571428571,87.85714285714286,0,0,0,69.0559998,85.0679992,80.169998,93.5,81.92666633333333,92.0,0.0,0.0,93.0,JJ2025,Sederhana
333571237707,DFK,6,L,D,3.61,0.0,False,94,91.33333333333331,83.69444444444444,0,0,0,78.79878739393939,87.04918897297298,77.54736847368422,80.96235294117646,88.11411782352941,85.15133306666667,78.8100015,82.94999972727273,85.625,JJ2025,Sederhana
333571239284-T,PPU,6,L,S,3.71,0.0,False,95,91.63157894736842,86.8157894736842,0,0,0,77.87111111111112,87.14479166666666,80.20050054999999,92.56777788888888,87.31789484210526,86.58727336363637,84.35769238461538,79.52200020000001,80.9339996,JJ2025,Sederhana
333571239297-T,PPU,6,L,B,3.38,0.0,False,95,92.10526315789474,81.60526315789474,0,0,0,63.36638894444444,83.299166375,71.70750050000001,86.511111,83.51684205263159,78.09545481818182,80.67538484615385,78.3919998,75.5,JJ2025,Sederhana
333571239307-T,PPU,6,L,J,3.69,0.0,False,95,91.65789473684212,85.1842105263158,0,0,0,72.01749994444444,87.96166702083333,78.78900039999999,91.95111088888888,85.19315778947369,81.97545490909091,83.29153876923077,80.4220002,77.7660004,JJ2025,Sederhana
333571239310-T,PPU,6,L,C,3.4,0.0,False,95,92.10526315789474,82.0,0,0,0,72.97027758333334,80.868541125,77.81050035,79.90888877777778,84.70684173684211,83.52363654545455,77.85923092307692,78.53399959999999,63.6,JJ2025,Sederhana
333571239336-T,PPU,6,L,D,2.92,0.0,False,95,91.1842105263158,76.1842105263158,0,0,0,60.81416661111112,76.47145791666667,64.90850094999999,74.59777744444445,73.3873682631579,75.8772729090909,69.8146153846154,71.8699996,73.4339996,JJ2025,Bermasalah
333571239349-T,PPU,6,L,D,3.25,0.0,False,95,91.94736842105264,80.34210526315789,0,0,0,71.05944441666666,80.57020833333333,70.82550035,78.59666688888889,81.05157910526316,79.66818163636364,79.3869226923077,71.34199980000001,73.6,JJ2025,Sederhana
333571239352-T,PPU,6,L,J,3.18,0.0,False,95,92.10526315789474,78.89473684210526,0,0,0,63.16916655555556,82.133958625,71.2920004,76.15555566666666,79.15894678947367,73.88,75.59153838461538,67.73399959999999,73.9339996,JJ2025,Sederhana
333571239365-T,PPU,6,L,D,3.67,0.0,False,95,91.94736842105264,85.8157894736842,0,0,0,78.85250005555555,86.12354189583334,81.4289501,90.27555511111112,84.38684242105262,84.473637,83.57999976923078,79.9899994,76.6,JJ2025,Sederhana
333571239378-T,PPU,6,L,D,3.21,0.0,False,95,91.94736842105264,79.8157894736842,0,0,0,70.973611,79.8550001875,71.6295006,78.96999955555556,82.66157936842104,76.13727290909091,74.60461484615385,72.4419998,66.7660004,JJ2025,Sederhana
333571239381-T,PPU,6,L,D,3.24,0.0,False,95,91.94736842105264,79.86842105263158,0,0,0,68.7758331388889,79.36208329166666,73.56100004999999,80.99222222222222,84.19315784210526,77.81909109090908,72.58384623076924,72.0059998,71.1,JJ2025,Sederhana
333571239394-T,PPU,6,L,D,3.08,0.0,False,95,91.5,78.10526315789474,0,0,0,63.58722219444444,79.58500014583333,70.9410004,74.22222222222223,79.28157931578947,81.84181836363636,70.49307715384614,73.16999960000001,71.1,JJ2025,Sederhana
333571239417-T,PPU,6,L,D,3.44,0.0,False,95,91.94736842105264,82.5,0,0,0,67.32611125,83.694375,75.3895003,88.85999977777777,87.5026317368421,84.01181863636363,78.05692261538462,76.8059998,75.4339996,JJ2025,Sederhana
333571239446-T,PPU,6,L,P,3.33,0.0,False,95,91.8157894736842,81.10526315789474,0,0,0,74.03499983333333,80.91499997916667,71.55250015,78.301111,82.9889474736842,76.55000027272727,74.94692284615384,82.48200080000001,69.1,JJ2025,Sederhana
333571239459-T,PPU,6,L,J,3.07,0.0,False,95,92.10526315789474,77.94736842105263,0,0,0,61.18777761111111,78.7906251875,67.7235003,76.54000011111111,82.17421078947369,78.88727290909091,73.96076938461539,75.8480004,69.7660004,JJ2025,Sederhana
333571239747,DGA,6,L,T,3.49,0.0,False,90,91.66666666666669,83.13888888888889,0,0,0,65.64999976923076,81.10720965116279,82.29181809090909,81.54000027272727,80.13190495238095,80.2970001,86.41571485714285,81.459999,83.75,JJ2025,Sederhana
333571239750,DGA,6,L,D,3.4,0.0,False,90,90.97222222222224,82.36111111111111,0,0,0,66.05230742307693,80.86697755813952,80.17909036363636,77.57272681818182,79.12190461904763,82.2389999,77.80571414285714,78.12666566666667,90.25,JJ2025,Sederhana
333571239763,DGA,6,L,T,3.42,0.0,False,90,90.97222222222224,83.0,0,0,0,65.8150001153846,81.2946511627907,81.42999954545455,82.02636354545456,80.56095228571428,80.3550003,82.558572,77.20666766666666,91.5,JJ2025,Sederhana
333571239802,DGA,6,L,D,3.59,0.0,False,90,91.38888888888889,85.38888888888889,0,0,0,73.6584618076923,83.05162853488372,82.1609089090909,85.87909081818181,85.43904766666667,83.1479996,86.29857085714286,69.556666,91.5,JJ2025,Sederhana
333571239815,DGA,6,L,D,3.35,0.0,False,90,91.38888888888889,82.22222222222223,0,0,0,63.04192292307692,79.80930206976744,80.50363636363636,81.59272690909091,78.78333319047618,83.325,83.70142914285714,74.12666566666667,85.25,JJ2025,Sederhana
333571239831,DGA,6,L,T,3.74,0.0,False,90,91.19444444444444,87.13888888888889,0,0,0,77.05769261538461,86.24488406976744,82.59454536363637,83.35545418181817,85.90952409523808,86.393,90.0257142857143,79.36666600000001,87.5,JJ2025,Sederhana
333571239857,DGA,6,L,T,3.71,0.0,False,90,91.36111111111111,86.47222222222223,0,0,0,75.13192307692307,84.81674474418604,85.42727327272728,83.1009090909091,83.522381,85.3490006,84.63571385714285,81.36333466666666,89.0,JJ2025,Sederhana
333571239860,DGA,6,L,W,3.61,0.0,False,90,91.52777777777776,85.75,0,0,0,70.10230761538462,83.31534909302326,85.33272818181818,85.67727245454545,82.86809504761905,82.49100039999999,87.19428585714286,62.85666666666666,85.0,JJ2025,Sederhana
333571239873,DGA,6,L,T,3.41,0.0,False,90,91.66666666666669,81.5,0,0,0,64.70807673076924,78.36674453488372,79.63999927272727,76.52181854545455,83.43904766666667,78.3580002,81.67571471428572,78.28666700000001,81.25,JJ2025,Sederhana
333571240095,ITW,6,L,N,3.72,4.0,False,94,89.05263157894737,85.97368421052632,0,0,0,74.34,84.43657139999999,86.80913008695651,87.99300000000001,90.3256254375,85.48333311111111,75.60777744444445,87.39999999999999,85.37333433333333,JJ2025,Sederhana
