Id_Semester,No_Pelajar,Sem_Pelajar,Kod_Subjek,Kod_Ujian,Markah,Peratus,Weighted,Exam_Type
40,"333571240147",1,"NUM10212","LO3T3",85,20,17.0000,"PS"
40,"333571240147",1,"NUM10212","LO1T2",56,50,28.0000,"PS"
40,"333571240147",1,"NUM10212","LO1T1",92.5,20,18.5000,"PS"
40,"333571240147",1,"NUS10000","K1(F)",100,100,100.0000,"PS"
40,"333571240231",1,"NUE10000","ATTEND",100,100,100.0000,"PS"
40,"333571240231",1,"MMW10254","LO5S1",82,10,8.2000,"PS"
40,"333571240231",1,"MMW10254","LO2P3",72,40,28.8000,"PS"
40,"333571240231",1,"MMW10254","LO2P2",86,20,17.2000,"PS"
40,"333571240231",1,"MMW10254","LO2P1",88,20,17.6000,"PS"
40,"333571240231",1,"MMW10254","LO1T1",84,10,8.4000,"PS"
40,"333571240231",1,"MMW10264","LO5S1",96,10,9.6000,"PS"
40,"333571240231",1,"MMW10264","LO2P3",96,40,38.4000,"PS"
40,"333571240231",1,"MMW10264","LO2P2",86,20,17.2000,"PS"
40,"333571240231",1,"MMW10264","LO2P1",94,20,18.8000,"PS"
40,"333571240231",1,"MMW10264","LO1T1",81,10,8.1000,"PS"
40,"333571240231",1,"MMW10272","LO5S1",78,10,7.8000,"PS"
40,"333571240231",1,"MMW10272","LO2P2",80,30,24.0000,"PS"
40,"333571240231",1,"MMW10272","LO2P1",69,30,20.7000,"PS"
40,"333571240231",1,"MMW10272","LO1T2",83,15,12.4500,"PS"
40,"333571240231",1,"MMW10272","LO1T1",79,15,11.8500,"PS"
40,"333571240231",1,"NUM10212","LO4S1",80,10,8.0000,"PS"
40,"333571240231",1,"NUM10212","LO3T3",73.25,20,14.6500,"PS"
40,"333571240231",1,"NUM10212","LO1T2",53,50,26.5000,"PS"
40,"333571240231",1,"NUM10212","LO1T1",80,20,16.0000,"PS"
40,"333571240231",1,"NUS10000","K1(F)",100,100,100.0000,"PS"
40,"333571240147",1,"DUY10021","LO5S1",100,20,20.0000,"PS"
40,"333571240147",1,"DUY10021","LO6S2",50,40,20.0000,"PS"
40,"333571240147",1,"DUY10021","LO6S*",100,20,20.0000,"PS"
40,"333571240147",1,"DUY10021","LO9S4",52.5,20,10.5000,"PS"
40,"333571240231",1,"DUY10021","LO5S1",100,20,20.0000,"PS"
40,"333571240231",1,"DUY10021","LO6S2",55,40,22.0000,"PS"
40,"333571240231",1,"DUY10021","LO6S*",100,20,20.0000,"PS"
40,"333571240231",1,"DUY10021","LO9S4",85,20,17.0000,"PS"
44,"333571245090",3,"DUE10102","LO4S5",94,15,14.1000,"PS"
44,"333571245090",3,"DUE10102","LO4S4",74,15,11.1000,"PS"
44,"333571245090",3,"DUE10102","LO6S3",97,25,24.2500,"PS"
44,"333571245090",3,"DUE10102","LO4S2",86,20,17.2000,"PS"
44,"333571245090",3,"DUE10102","LO4S1",83,25,20.7500,"PS"
44,"333571245155",3,"DUE10102","LO4S5",82,15,12.3000,"PS"
44,"333571245155",3,"DUE10102","LO4S4",77,15,11.5500,"PS"
44,"333571245155",3,"DUE10102","LO6S3",86,25,21.5000,"PS"
44,"333571245155",3,"DUE10102","LO4S2",83,20,16.6000,"PS"
44,"333571245155",3,"DUE10102","LO4S1",83,25,20.7500,"PS"
44,"333571245058",3,"DUE10102","LO4S5",76,15,11.4000,"PS"
44,"333571245058",3,"DUE10102","LO4S4",80,15,12.0000,"PS"
44,"333571245058",3,"DUE10102","LO6S3",86,25,21.5000,"PS"
44,"333571245058",3,"DUE10102","LO4S2",57,20,11.4000,"PS"
44,"333571245058",3,"DUE10102","LO4S1",79,25,19.7500,"PS"
44,"333571245359",3,"DUE10102","LO4S5",91,15,13.6500,"PS"
44,"333571245359",3,"DUE10102","LO4S4",78,15,11.7000,"PS"
44,"333571245359",3,"DUE10102","LO6S3",86,25,21.5000,"PS"
44,"333571245359",3,"DUE10102","LO4S2",75,20,15.0000,"PS"
44,"333571245359",3,"DUE10102","LO4S1",79,25,19.7500,"PS"
44,"333571245003",3,"DUE10102","LO4S5",97,15,14.5500,"PS"
44,"333571245003",3,"DUE10102","LO4S4",61,15,9.1500,"PS"
44,"333571245003",3,"DUE10102","LO6S3",96,25,24.0000,"PS"
44,"333571245003",3,"DUE10102","LO4S2",57,20,11.4000,"PS"
44,"333571245003",3,"DUE10102","LO4S1",93,25,23.2500,"PS"
41,"333571240147",2,"MMW20284","LO2P2",66,30,19.8000,"PS"
41,"333571240147",2,"MMW20294","LO2P3",68,30,20.4000,"PS"
41,"333571240147",2,"NUE20000","ATTEND",100,100,100.0000,"PS"
41,"333571240147",2,"NUS20000","K1(F)",100,100,100.0000,"PS"
41,"333571240147",2,"MMW20284","LO5S1",80,10,8.0000,"PS"
