Id_Semester,No_Pelajar,Sem_Pelajar,Jumlah_Kredit,Jumlah_Nilai,GPA,CGPA,Status
40,"333571237707",2,19,71.4000,3.7600,3.7900,"KB"
40,"333571239284-T",1,16,63.3000,3.9600,3.9600,"KB"
40,"333571239297-T",1,16,54.5000,3.4100,3.4100,"KB"
40,"333571239307-T",1,16,61.1000,3.8200,3.8200,"KB"
40,"333571239310-T",1,16,57.8000,3.6100,3.6100,"KB"
40,"333571239336-T",1,16,51.6000,3.2300,3.2300,"KB"
40,"333571239349-T",1,16,59.8000,3.7400,3.7400,"KB"
40,"333571239352-T",1,16,53.1000,3.3200,3.3200,"KB"
40,"333571239365-T",1,16,61.8000,3.8600,3.8600,"KB"
40,"333571239378-T",1,16,53.5000,3.3400,3.3400,"KB"
40,"333571239381-T",1,16,53.9000,3.3700,3.3700,"KB"
40,"333571239394-T",1,16,53.8000,3.3600,3.3600,"KB"
40,"333571239417-T",1,16,59.6000,3.7300,3.7300,"KB"
40,"333571239446-T",1,16,57.3000,3.5800,3.5800,"KB"
40,"333571239747",1,12,37.5000,3.1300,3.1300,"KB"
40,"333571239750",1,12,39.4000,3.2800,3.2800,"KB"
40,"333571239763",1,12,37.8000,3.1500,3.1500,"KB"
40,"333571239802",1,12,42.9000,3.5800,3.5800,"KB"
40,"333571239815",1,12,34.3000,2.8600,2.8600,"KB"
40,"333571239831",1,12,43.7000,3.6400,3.6400,"KB"
40,"333571239857",1,12,45.0000,3.7500,3.7500,"KB"
40,"333571239860",1,12,42.9000,3.5800,3.5800,"KB"
40,"333571239873",1,12,35.8000,2.9800,2.9800,"KB"
40,"333571240095",1,13,48.1000,3.7000,3.7000,"KB"
40,"333571240105",1,13,46.5000,3.5800,3.5800,"KB"
40,"333571240118",1,13,42.3000,3.2500,3.2500,"KB"
40,"333571240121",1,13,41.9000,3.2200,3.2200,"KB"
40,"333571240134",1,13,42.2000,3.2500,3.2500,"KB"
40,"333571240147",1,13,39.6000,3.0500,3.0500,"KB"
40,"333571240150",1,13,47.9000,3.6800,3.6800,"KB"
40,"333571240163",1,13,40.6000,3.1200,3.1200,"KB"
40,"333571240189",1,13,44.8000,3.4500,3.4500,"KB"
40,"333571240192",1,13,42.6000,3.2800,3.2800,"KB"
40,"333571240215",1,13,45.1000,3.4700,3.4700,"KB"
40,"333571240228",1,13,48.6000,3.7400,3.7400,"KB"
40,"333571240231",1,13,46.1000,3.5500,3.5500,"KB"
40,"333571240244",1,13,38.7000,2.9800,2.9800,"KB"
40,"333571240257",1,13,40.8000,3.1400,3.1400,"KB"
40,"333571240260",1,13,43.9000,3.3800,3.3800,"KB"
40,"333571240273",1,13,38.2000,2.9400,2.9400,"KB"
40,"333571240286",1,15,45.0000,3.0000,3.0000,"KB"
40,"333571240406",1,15,46.8000,3.1200,3.1200,"KB"
40,"333571240419",1,15,50.1000,3.3400,3.3400,"KB"
40,"333571240422",1,15,54.1000,3.6100,3.6100,"KB"
40,"333571240464",1,12,37.2000,3.1000,3.1000,"KB"
40,"333571240477",1,13,50.3000,3.8700,3.8700,"KB"
40,"333571240574",1,15,56.4000,3.7600,3.7600,"KB"
41,"333531249117",1,15,58.6000,3.9100,3.9100,"KB"
41,"333571239459-T",2,15,43.1000,2.8700,3.0200,"KB"
39,"333571237707",1,15,57.6000,3.8400,3.8400,"KB"
40,"333571239459-T",1,16,50.4000,3.1500,3.1500,"KB"
40,"333571240903",1,12,40.0000,3.3300,3.3300,"KB"
40,"333571241175",1,12,42.7000,3.5600,3.5600,"KB"
40,"333571241191",1,13,50.3000,3.8700,3.8700,"KB"
40,"333571241230",1,13,50.7000,3.9000,3.9000,"KB"
40,"333571241298",1,13,41.5000,3.1900,3.1900,"KB"
40,"333571241308",1,13,41.1000,3.1600,3.1600,"KB"
40,"333571241311",1,15,49.9000,3.3300,3.3300,"KB"
40,"333571241366",1,12,36.9000,3.0800,3.0800,"KB"
40,"333571241379",1,13,42.1000,3.2400,3.2400,"KB"
40,"333571241382",1,13,44.5000,3.4200,3.4200,"KB"
40,"333571241395",1,13,48.7000,3.7500,3.7500,"KB"
40,"333571241405",1,13,43.4000,3.3400,3.3400,"KB"
40,"333571241418",1,13,44.2000,3.4000,3.4000,"KB"
40,"333571241421",1,13,43.6000,3.3500,3.3500,"KB"
40,"333571241476",1,13,38.2000,2.9400,2.9400,"KB"
40,"333571241489",1,13,41.3000,3.1800,3.1800,"KB"
40,"333571241492",1,13,42.8000,3.2900,3.2900,"KB"
40,"333571241502",1,13,41.2000,3.1700,3.1700,"KB"
40,"333571241515",1,12,40.7000,3.3900,3.3900,"KB"
40,"333571241528",1,12,43.1000,3.5900,3.5900,"KB"
40,"333571241531",1,12,41.1000,3.4300,3.4300,"KB"
40,"333571241557",1,13,39.3000,3.0200,3.0200,"KB"
40,"333571241560",1,15,48.2000,3.2100,3.2100,"KB"
40,"333571241612",1,15,55.2000,3.6800,3.6800,"KB"
40,"333571241638",1,12,43.7000,3.6400,3.6400,"KB"
40,"333571241641",1,13,45.7000,3.5200,3.5200,"KB"
40,"333571241654",1,13,42.8000,3.2900,3.2900,"KB"
40,"333571241667",1,13,50.7000,3.9000,3.9000,"KB"
40,"333571241670",1,13,48.9000,3.7600,3.7600,"KB"
40,"333571241706",1,13,40.3000,3.1000,3.1000,"KB"
40,"333571241751",1,12,38.7000,3.2300,3.2300,"KB"
40,"333571241861",1,13,47.5000,3.6500,3.6500,"KB"
41,"333571237707",3,20,69.7000,3.4900,3.6800,"KB"
41,"333571239284-T",2,15,53.6000,3.5700,3.7700,"KB"
41,"333571239297-T",2,15,46.6000,3.1100,3.2600,"KB"
41,"333571239307-T",2,15,51.0000,3.4000,3.6200,"KB"
41,"333571239310-T",2,15,50.8000,3.3900,3.5000,"KB"
41,"333571239336-T",2,15,43.1000,2.8700,3.0500,"KB"
41,"333571239349-T",2,15,45.3000,3.0200,3.3900,"KB"
41,"333571239352-T",2,15,46.1000,3.0700,3.2000,"KB"
41,"333571239365-T",2,15,52.9000,3.5300,3.7000,"KB"
41,"333571239378-T",2,15,42.7000,2.8500,3.1000,"KB"
41,"333571239381-T",2,15,46.2000,3.0800,3.2300,"KB"
41,"333571239394-T",2,15,43.4000,2.8900,3.1400,"KB"
41,"333571239417-T",2,15,48.9000,3.2600,3.5000,"KB"
41,"333571239446-T",2,15,45.5000,3.0300,3.3200,"KB"
